-42.71447,-83,873.6208
-42.80508,-76,876.4512
-42.89569,-69,879.5967
-42.97337,-63,881.7617
-43.06398,-56,884.4048
-43.1546,-49,886.6915
-43.24521,-42,888.9901
-43.33583,-35,890.563
-43.42644,-28,892.2413
-43.50411,-22,893.4894
-43.59473,-15,894.7276
-43.68534,-8,895.835
-43.77596,-1,896.7194
-43.86657,6,897.399
-43.95719,13,897.5462
-44.03486,19,897.7519
-44.12547,26,897.7563
-44.21609,33,897.4231
-44.30671,40,896.9736
-44.39732,47,896.1523
-44.48793,54,895.1863
-44.56561,60,894.2848
-44.65622,67,892.8188
-44.74684,74,891.1526
-44.83745,81,889.3144
-44.92807,88,887.5195
-45.01868,95,885.4909
-45.09635,101,883.1322
-45.18697,108,880.5477
-45.27758,115,877.6615
